,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
1059,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0
1060,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1062,0,0,0,1,0,0,0,0,0,1,0,2,1,0,3,0,0,2,0,0,1,0,0,0,1,0,0,0
1063,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
1064,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0
1065,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0
1066,0,0,0,0,0,0,1,0,0,0,0,3,1,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0
1067,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
1068,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
1069,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
